Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western
Horrible Bosses,0.46885069817400643,0.36162361623616235,0.6666666666666666,0.7419354838709677,0.15833333333333333,0.1,0.0,0.0,0.05,0.0,0.95,0.15,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0
Nacho Libre,0.46616541353383456,0.33948339483394835,0.3333333333333333,0.6344086021505376,0.032,0.2,0.3,0.0,0.1,0.0,0.85,0.05,0.6,0.0,0.4,0.0,0.7,0.25,1.0,0.0,0.05,0.0,0.45,0.55,0.0,0.0,0.05,0.2,0.0,0.15,0.0,0.0,0.0
The Witches,0.47368421052631576,0.39114391143911437,0.3333333333333333,0.5806451612903226,0.016,0.05,0.2,0.0,0.15,0.0,0.7,0.0,0.65,0.0,0.4,0.0,0.6,0.85,1.0,0.0,0.0,0.8,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
Star Trek Into Darkness,0.4699248120300752,0.4870848708487085,0.3333333333333333,0.8279569892473118,0.167,0.95,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Maleficent: Mistress of Evil,0.4731471535982814,0.43911439114391143,0.3333333333333333,0.7096774193548386,0.04066666666666666,0.7,0.65,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.75,0.5,0.6,0.9,1.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0
The Bad Guys,0.4747583243823845,0.36900369003690037,0.16666666666666666,0.7311827956989246,0.021333333333333333,0.2,0.5,0.95,0.1,0.0,0.85,0.05,0.7,0.0,0.25,0.0,0.9,0.15,1.0,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.05,0.1,0.0,0.0,0.1,0.0,0.0
48 Hrs.,0.4532760472610097,0.35424354243542433,0.6666666666666666,0.7419354838709677,0.029333333333333333,0.95,0.05,0.0,0.0,0.0,0.7,0.98,0.8,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
The Living Daylights,0.45596133190118154,0.4797047970479705,0.3333333333333333,0.7204301075268816,0.036,0.95,0.9,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.1,0.1,0.0,1.0,0.1,0.1,0.0,0.2,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.9,0.0,0.0
Bound,0.4607948442534909,0.4022140221402214,0.6666666666666666,0.7849462365591398,0.021,0.2,0.0,0.0,0.6,0.0,0.2,0.8,0.3,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.6,0.0,0.0,0.0,0.85,0.0,0.0
Carlito's Way,0.45918367346938777,0.5313653136531366,0.6666666666666666,0.8494623655913979,0.079,0.2,0.0,0.0,0.1,0.2,0.1,0.95,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Heartbreak Ridge,0.45542427497314714,0.4797047970479705,0.6666666666666666,0.7311827956989246,0.01633333333333333,0.95,0.2,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.5,0.1,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.15,0.0
Cash Out,0.4758324382384533,0.33948339483394835,0.6666666666666666,0.5053763440860215,0.0,0.7,0.1,0.0,0.05,0.0,0.85,0.9,0.8,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Species,0.4602577873254565,0.3985239852398524,0.6666666666666666,0.6344086021505376,0.029333333333333333,0.4,0.1,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
A Cinderella Story,0.46509129967776586,0.3505535055350554,0.3333333333333333,0.6344086021505376,0.032,0.05,0.1,0.0,0.05,0.0,0.6,0.0,0.1,0.0,0.5,0.0,0.8,0.2,1.0,0.0,0.05,0.0,0.2,0.15,0.05,0.0,0.9,0.95,0.0,0.0,0.05,0.0,0.0
Cook Off!,0.46670247046186897,0.36162361623616235,0.6666666666666666,0.4623655913978494,0.0,0.01,0.01,0.0,0.05,0.01,0.75,0.0,0.05,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
To Catch a Killer,0.47529538131041893,0.43911439114391143,0.6666666666666666,0.7096774193548386,0.015,0.2,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Demolition,0.47099892588614395,0.3726937269372694,0.6666666666666666,0.7526881720430108,0.03933333333333333,0.01,0.0,0.0,0.3,0.0,0.05,0.0,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0
End of Watch,0.46938775510204084,0.4022140221402214,0.6666666666666666,0.8172043010752688,0.09166666666666666,0.95,0.0,0.0,0.0,0.0,0.2,0.6,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0
The Hunchback of Notre Dame,0.4607948442534909,0.33579335793357934,0.16666666666666666,0.7526881720430108,0.058333333333333334,0.2,0.4,0.95,0.7,0.0,0.3,0.1,0.0,0.0,0.8,0.5,0.85,0.75,1.0,0.6,0.0,0.1,0.9,0.7,0.25,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0
Tetris,0.47529538131041893,0.4354243542435424,0.6666666666666666,0.7956989247311828,0.030333333333333334,0.01,0.01,0.0,0.1,0.9,0.05,0.01,0.02,0.1,0.95,0.01,0.05,0.0,0.99,0.9,0.9,0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0
Tarzan,0.462406015037594,0.3247232472324723,0.16666666666666666,0.7849462365591398,0.08466666666666667,0.95,0.98,0.0,0.1,0.15,0.2,0.05,0.0,0.0,0.7,0.6,0.85,0.75,1.0,0.25,0.0,0.05,0.2,0.1,0.15,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0
Annie,0.47046186895810954,0.4354243542435424,0.3333333333333333,0.5806451612903226,0.013666666666666667,0.05,0.1,0.7,0.15,0.0,0.5,0.0,0.1,0.0,0.25,0.0,0.9,0.05,1.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0
Dressed to Kill,0.4522019334049409,0.3837638376383764,0.6666666666666666,0.7634408602150536,0.017,0.15,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.7,0.05,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0
Jerry and Marge Go Large,0.4747583243823845,0.35424354243542433,0.16666666666666666,0.7419354838709677,0.009333333333333334,0.0,0.0,0.0,0.05,0.8,0.95,0.1,0.7,0.0,0.75,0.0,0.6,0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.1,0.0,0.0
Mandy,0.47261009667024706,0.44649446494464945,0.6666666666666666,0.6989247311827956,0.031,0.95,0.2,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.8,0.4,0.0,0.1,1.0,0.0,0.0,0.98,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
The BFG,0.4715359828141783,0.4317343173431734,0.16666666666666666,0.6774193548387096,0.03166666666666667,0.1,0.75,0.9,0.2,0.05,0.6,0.0,0.15,0.0,0.65,0.15,0.95,0.98,0.95,0.05,0.0,0.05,0.1,0.15,0.2,0.0,0.1,0.05,0.0,0.0,0.1,0.0,0.0
Street Fighter,0.4597207303974221,0.3763837638376384,0.3333333333333333,0.4408602150537634,0.025666666666666667,0.95,0.6,0.0,0.05,0.1,0.2,0.0,0.0,0.0,0.4,0.1,0.5,0.15,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Richard Jewell,0.4731471535982814,0.4833948339483395,0.6666666666666666,0.8064516129032258,0.033666666666666664,0.0,0.0,0.0,0.05,0.95,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
Queen of the Damned,0.4640171858216971,0.3726937269372694,0.6666666666666666,0.5698924731182795,0.020666666666666667,0.6,0.3,0.0,0.1,0.2,0.05,0.15,0.0,0.0,0.7,0.25,0.0,0.85,1.0,0.2,0.0,0.9,0.15,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.75,0.0,0.0
The Homesman,0.47046186895810954,0.45018450184501846,0.6666666666666666,0.7096774193548386,0.012333333333333333,0.05,0.1,0.0,0.2,0.7,0.0,0.05,0.0,0.0,0.95,0.15,0.0,0.0,1.0,0.9,0.9,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.9
The Bourne Legacy,0.46938775510204084,0.4981549815498155,0.3333333333333333,0.7096774193548386,0.10633333333333334,0.95,0.8,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.75,0.0,0.95,0.0,0.0
Masters of the Universe,0.45596133190118154,0.39114391143911437,0.3333333333333333,0.5806451612903226,0.015,0.85,0.7,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.25,0.5,0.6,0.9,0.95,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0
Double Jeopardy,0.462406015037594,0.3874538745387454,0.6666666666666666,0.6989247311827956,0.03266666666666666,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
The Love Witch,0.4715359828141783,0.44280442804428044,1.0,0.6666666666666666,0.007,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.0,0.05,1.0,0.0,0.0,0.1,0.25,0.05,0.15,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0
The Noel Diary,0.4747583243823845,0.36531365313653136,0.6666666666666666,0.6559139784946235,0.006666666666666667,0.0,0.0,0.0,0.05,0.2,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.95,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renfield,0.47529538131041893,0.34317343173431736,0.6666666666666666,0.6881720430107526,0.034333333333333334,0.6,0.2,0.0,0.05,0.25,0.8,0.4,0.85,0.0,0.7,0.0,0.1,0.15,1.0,0.2,0.0,0.3,0.1,0.0,0.45,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0
Valkyrie,0.4672395273899033,0.44649446494464945,0.3333333333333333,0.7634408602150536,0.08766666666666667,0.7,0.1,0.0,0.05,0.85,0.0,0.05,0.0,0.0,0.9,0.2,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0
Daddy's Home 2,0.47207303974221265,0.36900369003690037,0.3333333333333333,0.6451612903225806,0.028,0.1,0.15,0.0,0.0,0.0,0.85,0.0,0.3,0.0,0.2,0.0,0.95,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.05,0.0,0.0
National Treasure: Book of Secrets,0.46670247046186897,0.4575645756457565,0.3333333333333333,0.6989247311827956,0.086,0.7,0.95,0.0,0.6,0.1,0.2,0.15,0.05,0.0,0.25,0.3,0.8,0.1,0.9,0.85,0.4,0.0,0.1,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0
All About Eve,0.43609022556390975,0.5092250922509225,0.6666666666666666,0.8817204301075268,0.04733333333333333,0.0,0.0,0.0,0.65,0.2,0.3,0.0,0.4,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0
Predators,0.4683136412459721,0.3948339483394834,0.6666666666666666,0.6881720430107526,0.083,0.95,0.7,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.2,0.0,0.1,1.0,0.0,0.0,0.2,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
Wild Things: Diamonds in the Rough,0.4656283566058002,0.3210332103321033,0.6666666666666666,0.48387096774193544,0.0,0.2,0.15,0.0,0.3,0.0,0.1,0.05,0.0,0.0,0.4,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
I Care a Lot,0.47368421052631576,0.4354243542435424,0.6666666666666666,0.6881720430107526,0.05,0.05,0.0,0.0,0.05,0.0,0.1,0.8,0.7,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
Eighth Grade,0.47261009667024706,0.34317343173431736,0.16666666666666666,0.7956989247311828,0.028,0.0,0.0,0.0,0.25,0.0,0.8,0.0,0.75,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,0.47261009667024706,0.4354243542435424,0.6666666666666666,0.7311827956989246,0.006666666666666667,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Sin City: A Dame to Kill For,0.47046186895810954,0.3763837638376384,0.6666666666666666,0.6989247311827956,0.057666666666666665,0.95,0.2,0.0,0.8,0.0,0.1,0.9,0.6,0.0,0.75,0.05,0.0,0.0,1.0,0.0,0.0,0.2,0.15,0.0,0.85,0.95,0.15,0.0,0.0,0.0,0.9,0.0,0.0
Wall Street,0.45596133190118154,0.46494464944649444,0.6666666666666666,0.7849462365591398,0.056,0.05,0.0,0.0,0.1,0.2,0.1,0.7,0.2,0.0,0.9,0.05,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Monster House,0.46616541353383456,0.33579335793357934,0.3333333333333333,0.7204301075268816,0.048,0.6,0.85,0.95,0.1,0.0,0.7,0.0,0.55,0.0,0.5,0.05,0.9,0.2,1.0,0.0,0.0,0.3,0.15,0.1,0.65,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
Megan Is Missing,0.46885069817400643,0.31365313653136534,0.6666666666666666,0.49462365591397844,0.005666666666666667,0.1,0.05,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
The Ten Commandments,0.439312567132116,0.8118081180811808,0.16666666666666666,0.8494623655913979,0.026333333333333334,0.6,0.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.95,0.6,0.3,1.0,0.9,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0
The Insider,0.462406015037594,0.5793357933579336,0.6666666666666666,0.8387096774193548,0.06133333333333333,0.05,0.01,0.0,0.05,0.95,0.02,0.03,0.0,0.01,0.9,0.01,0.01,0.0,0.9,0.1,0.0,0.01,0.01,0.0,0.05,0.01,0.01,0.0,0.0,0.0,0.1,0.0,0.0
Ambulance,0.4747583243823845,0.5018450184501845,0.6666666666666666,0.6559139784946235,0.035,0.95,0.2,0.0,0.05,0.0,0.05,0.8,0.0,0.0,0.75,0.1,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Dick Tracy,0.45757250268528465,0.3874538745387454,0.3333333333333333,0.6666666666666666,0.022333333333333334,0.95,0.7,0.0,0.2,0.0,0.6,0.9,0.65,0.0,0.8,0.1,0.15,0.0,1.0,0.05,0.0,0.0,0.1,0.15,0.85,0.9,0.1,0.0,0.0,0.0,0.9,0.0,0.0
Pinocchio,0.4747583243823845,0.3874538745387454,0.3333333333333333,0.5483870967741935,0.014333333333333333,0.05,0.3,0.95,0.6,0.1,0.25,0.0,0.0,0.0,0.7,0.05,0.9,0.7,1.0,0.1,0.0,0.0,0.35,0.2,0.1,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0
Minions: The Rise of Gru,0.4747583243823845,0.3210332103321033,0.6666666666666666,0.6989247311827956,0.03133333333333333,0.6,0.75,0.95,0.1,0.15,0.85,0.2,0.7,0.0,0.3,0.15,0.9,0.5,0.95,0.35,0.1,0.05,0.4,0.25,0.1,0.0,0.05,0.1,0.2,0.0,0.25,0.0,0.0
She Said,0.4747583243823845,0.47601476014760147,0.6666666666666666,0.7849462365591398,0.014333333333333333,0.0,0.0,0.0,0.05,0.85,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Good Luck Chuck,0.46670247046186897,0.35424354243542433,0.16666666666666666,0.6021505376344085,0.032,0.01,0.01,0.0,0.05,0.0,0.9,0.0,0.7,0.0,0.65,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.85,0.95,0.0,0.0,0.05,0.0,0.0
Hot Summer Nights,0.47207303974221265,0.3948339483394834,0.6666666666666666,0.6881720430107526,0.008333333333333333,0.05,0.1,0.0,0.15,0.0,0.7,0.0,0.2,0.0,0.5,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.05,0.0,0.0
The Cannonball Run,0.4527389903329753,0.3505535055350554,0.6666666666666666,0.6666666666666666,0.013666666666666667,0.85,0.7,0.0,0.05,0.0,0.9,0.1,0.6,0.0,0.2,0.15,0.4,0.0,1.0,0.05,0.0,0.0,0.1,0.2,0.1,0.0,0.15,0.3,0.0,0.6,0.25,0.0,0.0
An American Crime,0.46670247046186897,0.36162361623616235,0.6666666666666666,0.7741935483870968,0.012666666666666666,0.05,0.0,0.0,0.1,0.2,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
The Giver,0.47046186895810954,0.35793357933579334,0.16666666666666666,0.6881720430107526,0.042333333333333334,0.05,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.7,0.4,0.95,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0
Roma,0.47261009667024706,0.4981549815498155,0.6666666666666666,0.8279569892473118,0.05733333333333333,0.01,0.05,0.0,0.85,0.15,0.02,0.03,0.0,0.7,0.95,0.1,0.05,0.0,0.9,0.1,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0
Fred Claus,0.46670247046186897,0.4280442804428044,0.3333333333333333,0.6129032258064516,0.016,0.05,0.1,0.0,0.0,0.0,0.85,0.0,0.7,0.0,0.5,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0
The Mortal Instruments: City of Bones,0.4699248120300752,0.4797047970479705,0.3333333333333333,0.6236559139784945,0.04666666666666667,0.6,0.75,0.0,0.1,0.0,0.15,0.05,0.0,0.0,0.5,0.1,0.3,0.95,0.98,0.0,0.0,0.1,0.15,0.0,0.65,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0
The Wasp,0.4758324382384533,0.35424354243542433,0.6666666666666666,0.6344086021505376,0.0,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Kingpin,0.4607948442534909,0.42066420664206644,0.3333333333333333,0.7419354838709677,0.031,0.85,0.0,0.0,0.1,0.2,0.7,0.95,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.0,0.0,0.0,0.0,0.7,0.0,0.0
Memory,0.4747583243823845,0.42066420664206644,0.6666666666666666,0.6129032258064516,0.012666666666666666,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.85,0.7,0.0,0.0,0.0,0.85,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moonstruck,0.45596133190118154,0.3763837638376384,0.3333333333333333,0.7741935483870968,0.023666666666666666,0.05,0.0,0.0,0.1,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Singin' in the Rain,0.4371643394199785,0.3800738007380074,0.6666666666666666,0.8924731182795699,0.089,0.05,0.1,0.0,0.2,0.05,0.9,0.0,0.15,0.0,0.3,0.05,0.6,0.0,1.0,0.1,0.15,0.0,0.95,0.98,0.05,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0
Scary Movie V,0.4699248120300752,0.3173431734317343,0.3333333333333333,0.3763440860215054,0.026333333333333334,0.1,0.05,0.0,0.0,0.0,0.95,0.05,0.9,0.0,0.1,0.0,0.2,0.05,1.0,0.0,0.0,0.8,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.0
Twin Peaks: Fire Walk with Me,0.45864661654135336,0.4944649446494465,0.6666666666666666,0.7849462365591398,0.036,0.1,0.05,0.0,0.2,0.75,0.05,0.6,0.0,0.0,0.9,0.0,0.0,0.0,0.95,0.0,0.0,0.8,0.15,0.0,0.95,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Freaky Friday,0.46455424274973145,0.35793357933579334,0.3333333333333333,0.6774193548387096,0.052333333333333336,0.05,0.05,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.55,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.1,0.0,0.0
Ocean's Thirteen,0.46670247046186897,0.45018450184501846,0.3333333333333333,0.7419354838709677,0.12433333333333334,0.7,0.2,0.0,0.05,0.0,0.85,0.95,0.8,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Network,0.45005370569280345,0.44649446494464945,0.6666666666666666,0.8709677419354838,0.058,0.05,0.0,0.0,0.2,0.05,0.1,0.0,0.6,0.0,0.75,0.05,0.0,0.0,1.0,0.1,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
