Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Horrible Bosses,2011,1h 38m,R,6.9,475K,0.1,0.0,0.0,0.05,0.0,0.95,0.15,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0
Nacho Libre,2006,1h 32m,PG,5.9,96K,0.2,0.3,0.0,0.1,0.0,0.85,0.05,0.6,0.0,0.4,0.0,0.7,0.25,1.0,0.0,0.05,0.0,0.45,0.55,0.0,0.0,0.05,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Witches,2020,1h 46m,PG,5.4,48K,0.05,0.2,0.0,0.15,0.0,0.7,0.0,0.65,0.0,0.4,0.0,0.6,0.85,1.0,0.0,0.0,0.8,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Star Trek Into Darkness,2013,2h 12m,PG,7.7,501K,0.95,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.98
Maleficent: Mistress of Evil,2019,1h 59m,PG,6.6,122K,0.7,0.65,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.75,0.5,0.6,0.9,1.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0
The Bad Guys,2022,1h 40m,G,6.8,64K,0.2,0.5,0.95,0.1,0.0,0.85,0.05,0.7,0.0,0.25,0.0,0.9,0.15,1.0,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
48 Hrs.,1982,1h 36m,R,6.9,88K,0.95,0.05,0.0,0.0,0.0,0.7,0.98,0.8,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Living Daylights,1987,2h 10m,PG,6.7,108K,0.95,0.9,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.1,0.1,0.0,1.0,0.1,0.1,0.0,0.2,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Bound,1996,1h 49m,R,7.3,63K,0.2,0.0,0.0,0.6,0.0,0.2,0.8,0.3,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.6,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Carlito's Way,1993,2h 24m,R,7.9,237K,0.2,0.0,0.0,0.1,0.2,0.1,0.95,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Heartbreak Ridge,1986,2h 10m,R,6.8,49K,0.95,0.2,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.5,0.1,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.15,0.0,0.0,0.0,0.0,0.0
Cash Out,2024,1h 32m,R,4.7,,0.7,0.1,0.0,0.05,0.0,0.85,0.9,0.8,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Species,1995,1h 48m,R,5.9,88K,0.4,0.1,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8
A Cinderella Story,2004,1h 35m,PG,5.9,96K,0.05,0.1,0.0,0.05,0.0,0.6,0.0,0.1,0.0,0.5,0.0,0.8,0.2,1.0,0.0,0.05,0.0,0.2,0.15,0.05,0.0,0.9,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Cook Off!,2007,1h 38m,R,4.3,,0.01,0.01,0.0,0.05,0.01,0.75,0.0,0.05,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
To Catch a Killer,2023,1h 59m,R,6.6,45K,0.2,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Demolition,2015,1h 41m,R,7.0,118K,0.01,0.0,0.0,0.3,0.0,0.05,0.0,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
End of Watch,2012,1h 49m,R,7.6,275K,0.95,0.0,0.0,0.0,0.0,0.2,0.6,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Hunchback of Notre Dame,1996,1h 31m,G,7.0,175K,0.2,0.4,0.95,0.7,0.0,0.3,0.1,0.0,0.0,0.8,0.5,0.85,0.75,1.0,0.6,0.0,0.1,0.9,0.7,0.25,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.65,0.0,0.0
Tetris,2023,1h 58m,R,7.4,91K,0.01,0.01,0.0,0.1,0.9,0.05,0.01,0.02,0.1,0.95,0.01,0.05,0.0,0.99,0.9,0.9,0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Tarzan,1999,1h 28m,G,7.3,254K,0.95,0.98,0.0,0.1,0.15,0.2,0.05,0.0,0.0,0.7,0.6,0.85,0.75,1.0,0.25,0.0,0.05,0.2,0.1,0.15,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3,0.0,0.05
Annie,2014,1h 58m,PG,5.4,41K,0.05,0.1,0.7,0.15,0.0,0.5,0.0,0.1,0.0,0.25,0.0,0.9,0.05,1.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dressed to Kill,1980,1h 44m,R,7.1,51K,0.15,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.7,0.05,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
Jerry and Marge Go Large,2022,1h 36m,G,6.9,28K,0.0,0.0,0.0,0.05,0.8,0.95,0.1,0.7,0.0,0.75,0.0,0.6,0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mandy,2018,2h 1m,R,6.5,93K,0.95,0.2,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.8,0.4,0.0,0.1,1.0,0.0,0.0,0.98,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The BFG,2016,1h 57m,G,6.3,95K,0.1,0.75,0.9,0.2,0.05,0.6,0.0,0.15,0.0,0.65,0.15,0.95,0.98,0.95,0.05,0.0,0.05,0.1,0.15,0.2,0.0,0.1,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Street Fighter,1994,1h 42m,PG,4.1,77K,0.95,0.6,0.0,0.05,0.1,0.2,0.0,0.0,0.0,0.4,0.1,0.5,0.15,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.2
Richard Jewell,2019,2h 11m,R,7.5,101K,0.0,0.0,0.0,0.05,0.95,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Queen of the Damned,2002,1h 41m,R,5.3,62K,0.6,0.3,0.0,0.1,0.2,0.05,0.15,0.0,0.0,0.7,0.25,0.0,0.85,1.0,0.2,0.0,0.9,0.15,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.0,0.8
The Homesman,2014,2h 2m,R,6.6,37K,0.05,0.1,0.0,0.2,0.7,0.0,0.05,0.0,0.0,0.95,0.15,0.0,0.0,1.0,0.9,0.9,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0
The Bourne Legacy,2012,2h 15m,PG,6.6,319K,0.95,0.8,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.75,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Masters of the Universe,1987,1h 46m,PG,5.4,45K,0.85,0.7,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.25,0.5,0.6,0.9,0.95,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.75
Double Jeopardy,1999,1h 45m,R,6.5,98K,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Love Witch,2016,2h,Unrated,6.2,21K,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.0,0.05,1.0,0.0,0.0,0.1,0.25,0.05,0.15,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0
The Noel Diary,2022,1h 39m,R,6.1,20K,0.0,0.0,0.0,0.05,0.2,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.95,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renfield,2023,1h 33m,R,6.4,103K,0.6,0.2,0.0,0.05,0.25,0.8,0.4,0.85,0.0,0.7,0.0,0.1,0.15,1.0,0.2,0.0,0.3,0.1,0.0,0.45,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.15,0.0
Valkyrie,2008,2h 1m,PG,7.1,263K,0.7,0.1,0.0,0.05,0.85,0.0,0.05,0.0,0.0,0.9,0.2,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.9,0.0,0.0
Daddy's Home 2,2017,1h 40m,PG,6.0,84K,0.1,0.15,0.0,0.0,0.0,0.85,0.0,0.3,0.0,0.2,0.0,0.95,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
National Treasure: Book of Secrets,2007,2h 4m,PG,6.5,258K,0.7,0.95,0.0,0.6,0.1,0.2,0.15,0.05,0.0,0.25,0.3,0.8,0.1,0.9,0.85,0.4,0.0,0.1,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
All About Eve,1950,2h 18m,R,8.2,142K,0.0,0.0,0.0,0.65,0.2,0.3,0.0,0.4,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Predators,2010,1h 47m,R,6.4,249K,0.95,0.7,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.2,0.0,0.1,1.0,0.0,0.0,0.2,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9
Wild Things: Diamonds in the Rough,2005,1h 27m,R,4.5,,0.2,0.15,0.0,0.3,0.0,0.1,0.05,0.0,0.0,0.4,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0
I Care a Lot,2020,1h 58m,R,6.4,150K,0.05,0.0,0.0,0.05,0.0,0.1,0.8,0.7,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Eighth Grade,2018,1h 33m,G,7.4,84K,0.0,0.0,0.0,0.25,0.0,0.8,0.0,0.75,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,2018,1h 58m,R,6.8,20K,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Sin City: A Dame to Kill For,2014,1h 42m,R,6.5,173K,0.95,0.2,0.0,0.8,0.0,0.1,0.9,0.6,0.0,0.75,0.05,0.0,0.0,1.0,0.0,0.0,0.2,0.15,0.0,0.85,0.95,0.15,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Wall Street,1987,2h 6m,R,7.3,168K,0.05,0.0,0.0,0.1,0.2,0.1,0.7,0.2,0.0,0.9,0.05,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Monster House,2006,1h 31m,PG,6.7,144K,0.6,0.85,0.95,0.1,0.0,0.7,0.0,0.55,0.0,0.5,0.05,0.9,0.2,1.0,0.0,0.0,0.3,0.15,0.1,0.65,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.05
Megan Is Missing,2011,1h 25m,R,4.6,17K,0.1,0.05,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
The Ten Commandments,1956,3h 40m,G,7.9,79K,0.6,0.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.95,0.6,0.3,1.0,0.9,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.95,0.0,0.0
The Insider,1999,2h 37m,R,7.8,184K,0.05,0.01,0.0,0.05,0.95,0.02,0.03,0.0,0.01,0.9,0.01,0.01,0.0,0.9,0.1,0.0,0.01,0.01,0.0,0.05,0.01,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.2,0.0,0.0
Ambulance,2022,2h 16m,R,6.1,105K,0.95,0.2,0.0,0.05,0.0,0.05,0.8,0.0,0.0,0.75,0.1,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
Dick Tracy,1990,1h 45m,PG,6.2,67K,0.95,0.7,0.0,0.2,0.0,0.6,0.9,0.65,0.0,0.8,0.1,0.15,0.0,1.0,0.05,0.0,0.0,0.1,0.15,0.85,0.9,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Pinocchio,2022,1h 45m,PG,5.1,43K,0.05,0.3,0.95,0.6,0.1,0.25,0.0,0.0,0.0,0.7,0.05,0.9,0.7,1.0,0.1,0.0,0.0,0.35,0.2,0.1,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.1,0.0,0.0
Minions: The Rise of Gru,2022,1h 27m,R,6.5,94K,0.6,0.75,0.95,0.1,0.15,0.85,0.2,0.7,0.0,0.3,0.15,0.9,0.5,0.95,0.35,0.1,0.05,0.4,0.25,0.1,0.0,0.05,0.1,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
She Said,2022,2h 9m,R,7.3,43K,0.0,0.0,0.0,0.05,0.85,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Good Luck Chuck,2007,1h 36m,G,5.6,96K,0.01,0.01,0.0,0.05,0.0,0.9,0.0,0.7,0.0,0.65,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.85,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Hot Summer Nights,2017,1h 47m,R,6.4,25K,0.05,0.1,0.0,0.15,0.0,0.7,0.0,0.2,0.0,0.5,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.0
The Cannonball Run,1981,1h 35m,R,6.2,41K,0.85,0.7,0.0,0.05,0.0,0.9,0.1,0.6,0.0,0.2,0.15,0.4,0.0,1.0,0.05,0.0,0.0,0.1,0.2,0.1,0.0,0.15,0.3,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0
An American Crime,2007,1h 38m,R,7.2,38K,0.05,0.0,0.0,0.1,0.2,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
The Giver,2014,1h 37m,G,6.4,127K,0.05,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.7,0.4,0.95,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Roma,2018,2h 15m,R,7.7,172K,0.01,0.05,0.0,0.85,0.15,0.02,0.03,0.0,0.7,0.95,0.1,0.05,0.0,0.9,0.1,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0
Fred Claus,2007,1h 56m,PG,5.7,48K,0.05,0.1,0.0,0.0,0.0,0.85,0.0,0.7,0.0,0.5,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Mortal Instruments: City of Bones,2013,2h 10m,PG,5.8,140K,0.6,0.75,0.0,0.1,0.0,0.15,0.05,0.0,0.0,0.5,0.1,0.3,0.95,0.98,0.0,0.0,0.1,0.15,0.0,0.65,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
The Wasp,2024,1h 36m,R,5.9,,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Kingpin,1996,1h 54m,PG,6.9,93K,0.85,0.0,0.0,0.1,0.2,0.7,0.95,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.0
Memory,2022,1h 54m,R,5.7,38K,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.85,0.7,0.0,0.0,0.0,0.85,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Moonstruck,1987,1h 42m,PG,7.2,71K,0.05,0.0,0.0,0.1,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
Singin' in the Rain,1952,1h 43m,R,8.3,267K,0.05,0.1,0.0,0.2,0.05,0.9,0.0,0.15,0.0,0.3,0.05,0.6,0.0,1.0,0.1,0.15,0.0,0.95,0.98,0.05,0.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scary Movie V,2013,1h 26m,PG,3.5,79K,0.1,0.05,0.0,0.0,0.0,0.95,0.05,0.9,0.0,0.1,0.0,0.2,0.05,1.0,0.0,0.0,0.8,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.15,0.05
Twin Peaks: Fire Walk with Me,1992,2h 14m,R,7.3,108K,0.1,0.05,0.0,0.2,0.75,0.05,0.6,0.0,0.0,0.9,0.0,0.0,0.0,0.95,0.0,0.0,0.8,0.15,0.0,0.95,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0
Freaky Friday,2003,1h 37m,PG,6.3,157K,0.05,0.05,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.55,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Ocean's Thirteen,2007,2h 2m,PG,6.9,373K,0.7,0.2,0.0,0.05,0.0,0.85,0.95,0.8,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Network,1976,2h 1m,R,8.1,174K,0.05,0.0,0.0,0.2,0.05,0.1,0.0,0.6,0.0,0.75,0.05,0.0,0.0,1.0,0.1,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
The Hunger Games: Mockingjay - Part 1,2014,2h 3m,G,6.6,514K,0.95,0.8,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.9,0.7,0.2,0.05,0.98,0.15,0.1,0.05,0.1,0.0,0.15,0.0,0.1,0.0,0.1,0.0,0.85,0.25,0.0,0.0,0.0,0.0,0.0
Contagion,2011,1h 46m,PG,6.8,320K,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.95,0.01,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Super Troopers,2001,1h 40m,R,7.0,115K,0.1,0.05,0.0,0.05,0.0,0.95,0.05,0.8,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Crimson Peak,2015,1h 59m,R,6.5,161K,0.05,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.15,0.0,0.2,1.0,0.1,0.4,0.9,0.05,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
